,Toilet Name,Area,Location,Provider,Latitude,Longitiude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Edmundbyers    ,The Closes,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Eggleston,Church Bank,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Hamsterley,Saunders Avenue,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Middleton-in-Teesdale,Chapel Row,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Rookhope    ,Front Street,/,/,/,/,/,/,/,/,/,07.00 - 17.00,17.00 - 07.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Seaham    ,South Street,/,/,/,/,/,/,/,/,1,,,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Staindrop,Duke Street,/,/,/,/,/,/,/,/,/,08.00 - 17.00,17.00 - 08.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Stanhope,Dales Centre,/,/,/,/,/,/,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,South Hetton,Front Street,/,/,/,/,/,/,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,St John's Chapel,Hood Street,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
