,Toilet Name,Area,Location,Provider,Latitude,Longitiude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Toft Hill,A68,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Wearhead,Front Street,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Willington,High Street,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Willington,Lido,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Durham,/,Wolsingham,Angate Street,/,/,/,/,/,/,/,/,/,07.00 - 17.00,17.00 - 07.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,Seaton Carew Esplanade,"Clocktower, The Front",/,/,/,/,/,TS25 1DJ ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,Middlegate,"Headland Town Square,",/,/,/,/,/,TS24 0JD           ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,/,"Carpark, Coronation Drive,",/,/,/,/,/,TS25 1NY,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,/,"LightHouse, Moor Terrace,                   ",/,/,/,/,/,TS24 0PS      ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,/,"Ward Jackson Park,                           ",/,/,/,/,/,TS26 0DS    ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,/,"Rossmere Park, ",/,/,/,/,/,TS25 1EF ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,/,"Civic Centre, Victoria Road,",/,/,/,/,/,TS24 8AY,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,0,0,1,1,No,1,A,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,/,"Central Library, York Road, ",/,/,/,/,/,TS26 9DE,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartlepool,/,,"1 Church Street, ",/,/,/,/,/,TS24 7DS,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,0,0,1,1,No,1,A,/,/,/,/, No Charge ,/,26/03/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesbrough,/,Middlesborough,Zetland Multi Story Car Park,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Mon-Sat 7.00am - 7.30pm Sun 8.00-6.00pm (male toilets close at 3.00pm) ,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,22/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesbrough,/,Middlesborough,Captain Cook Multi Story Car Park,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Mon-Sat 7.00am - 7.30pm Sun 8.00-6.00pm (male toilets close at 3.00pm) ,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,22/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
