,Toilet Name,Area,Location,Provider,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes,24 hours,Open,Closed,Days of the Week open,Open Season,Closed Season,Notes,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisions?,Car Parking, Cost ,Report Problems,Date,Data Collected from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Moorfield Road PC,"Moorfield Rd Car Park, Moorfield Road",/,/,/,/,518131,467086,YO16 4LF,/,/,/,07.15 - 16.15,16.15 - 07.15,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,South Cliff Gardens PC,"South Cliff Gardens, South Cliff Road",/,/,/,/,518272,466547,YO15 3AU,/,/,/,07.00 - 16.15,16.15 - 07.00,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Queen Street PC,Queen Street Promenade,/,/,/,/,518423,466621,YO15 2SF,/,/,/,08.30 - 17.00,17.00 - 08.30,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Royal Princes Parade PC,"Royal Princes Parade, Esplanade",/,/,/,/,518723,466754,YO15 2PB,/,/,/,07.00 - 16.15,16.15 - 07.00,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Watmaughs Arcade PC,"Watmaughs Arcade, St Augustines Gate",/,/,/,/,518920,428594,HU12 8EZ,/,/,/,07.00 - 18.00,18.00 - 07.00,/,November - March,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Beaconsfield Promenade PC,Beaconsfield Promenade,/,/,/,/,518940,467181,YO15 2PF,/,/,/,07.15 - 16.15,16.15 - 07.15,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Limekiln Lane PC,"Limekiln Lane, Sewerby Road",/,/,/,/,519323,467890,YO15 2LU,/,/,/,07.00 - 16.15,16.15 - 07.00,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Hall Garth Park PC,"Hall Garth Park, Cinema Street",/,/,/,/,520434,447783,HU18 1PA,/,/,/,07.00 - 18.00,18.00 - 07.00,/,November - March,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Marine Drive PC,MARINE DRIVE,/,/,/,/,520853,448153,HU18 1NJ,/,/,/ ,06.00 - 19.05,19.05 - 06.00,/,November - March,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Sands Lane PC,Sands Lane,/,/,/,/,520925,447829,HU18 1PZ,/,/,/ ,06.00 - 19.05,19.05 - 06.00,/,November - March,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,South Promenade Boat Compound PC,"South Promenade Boat Compound, South Promenade",/,/,/,/,521074,447402,HU18 1TJ,/,/,/,06.00 - 19.05,19.05 - 06.00,/,November - March,/,/,1,1,0,1,Yes,1,In Disabled toilet,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Danes Dyke PC,Danes Dyke,/,/,/,/,521553,469491,YO15 1AA,/,/,/,07.15 - 16.15,16.15 - 07.00,/,/,/,/,1,1,0,1,Yes,1,l/g,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Cliff Lane PC,Cliff Lane,/,/,/,/,522775,443767,HU18 1XX,/,/,/ ,09.10 - 18.00,18.00 - 09.10,/,November - March,/,/,1,1,0,1,Yes,1,/,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Flamborough Head Car Park PC,"Flamborough Head Car Park, Lighthouse Road",/,/,/,/,525373,470654,YO15 1AR,/,/,/,07.15 - 16.15,16.15 - 07.15,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Piggy Lane PC,"Piggy Lane, Queen Street",/,/,/,/,534212,427857,HU19 2HB,/,/,/,07.00 - 18.00,18.00 - 07.00,/,November - March,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Central Promenade PC,Central Promenade,/,/,/,/,534320,427980,HU19 2DL,/,/,/,08.00 - 18.00,18.00 - 08.00,/,November - March,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Seaside Road PC,Easington Road,/,/,/,/,541681,415864,HU12 0UB,/,/,/,08.00 - 20.00,20.00 - 08.00,/,/,/,/,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,The Square PC,The Square,/,/,/,/,471256,455552,YO41 1AG,/,/,/,06.00 - 19.25,19.25 - 06.00,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Estcourt Street PC,"Estcourt Street Car Park, Estcourt Street",/,/,/,/,474663,423683,DN14 5AS,/,/,/,07.00 - 18.00,18.00 - 07.00,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Howden PC,"Charles Briggs Avenue, Hailgate",/,/,/,/,474966,428248,DN14 7SX,/,/,/,05.00 - 19.00,19.00 - 05.OO,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Railway Street PC,Railway Street,/,/,/,/,480154,448848,YO42 2QU,/,/,/,07.00 - 20.15,20.15 - 07.00,/,/,/,/,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
