,Toilet Name,Area,Location,Provider,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes,24 hours,Open,Closed,Days of the Week open,Open Season,Closed Season,Notes,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisions?,Car Parking, Cost ,Report Problems,Date,Data Collected from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Station Road, Castleton, Whitby",,/,/,54.46326201,-0.938311122,54.46326201,-0.938311122,YO21 2EG,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Dale End, Danby, Whitby",,/,/,54.46698867,-0.907539185,54.46698867,-0.907539185,YO21 2JF,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"West Cliff, Whitby",,/,/,54.49008083,-0.620804596,54.49008083,-0.620804596,YO21 3HA,/,/,/ ,10.00-18.00,18.00-10.00,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Khyber Pass, Pier Road, Whitby",,/,/,54.49027937,-0.613015937,54.49027937,-0.613015937,YO21 3PU,/,/,/,07.30-21.00,21.00-07.30,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Public Conveniences (North), Sandsend,Whitby",,/,/,54.50381836,-0.671399437,54.50381836,-0.671399437,YO21 3SU,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Market Place, Church Street,  Whitby",,/,/,54.48772088,-0.610956391,54.48772088,-0.610956391,YO22 4DD,/,/,/,10.00-18.00,18.00-10.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Whitby Abbey Car Park, Whitby",,/,/,54.48608373,-0.60383281,54.48608373,-0.60383281,YO22 4JS,/,/,/ ,07.30-21.00,21.00-07.30,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Station Car Park. Station Road, Robin Hoods Bay, Whitby",,/,/,54.43573287,-0.535168313,54.43573287,-0.535168313,YO22 4RA,/,/,1,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Bank Top, Station Road, Robin Hoods Bay, Whitby",,/,/,54.43276634,-0.532930495,54.43276634,-0.532930495,YO22 4UA,/,/,/,07.30-21.00,21.00-07.30,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Waterloo, Grosmont, Whitby",,/,/,54.4356755,-0.725113754,54.4356755,-0.725113754,YO22 5QE,/,/,/,07.30-21.00,21.00-07.30,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Bank Bottom, Robin Hoods Bay, Whitby",,/,/,54.43020829,-0.531032926,54.43020829,-0.531032926,YO22 4ST,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Public Toilets (South), East Row, Sandsend, Whitby",,/,/,54.49998518,-0.664479731,54.49998518,-0.664479731,YO21 3SU,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Bank Top Lane, Runswick Bay, Saltburn",,/,/,54.53295476,-0.748536852,54.53295476,-0.748536852,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Ravine Road, Filey",,/,/,54.21091699,-0.282229709,54.21091699,-0.282229709,/,/,/,1,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Filey Beach Attended Toilets, The Beach, Filey",,/,/,54.20867287,-0.282743656,54.20867287,-0.282743656,/,/,/,1,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,Holbeck Clock Scarborough,,/,/,54.26961969,-0.392413381,54.26961969,-0.392413381,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,Peasholm Park Scarborough,,/,/,54.28954747,-0.407863474,54.28954747,-0.407863474,/,/,/,/,07.30-20.00,20.00-07.30,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Vincent Pier, Sandside, Scarborough",,/,/,54.28347748,-0.385390209,54.28347748,-0.385390209,/,/,/,/,10.00-18.00,18.00-10.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Woodlands Cemetery, Woodlands Drive, Woodlands,Scarborough",,/,/,54.27633379,-0.441141989,54.27633379,-0.441141989,/,/,/,/,07.30-20.30,20.30-07.30,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"West Pier, Foreshore Road, Scarborough",,/,/,54.28338613,-0.390663527,54.28338613,-0.390663527,/,/,/,/,08.00-18.30,18.30-08.00,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Filey Country Park, North Cliff, Filey",,/,/,54.21615337,-0.281904975,54.21615337,-0.281904975,/,/,/,/,07.30-21.30,21.30-07.30,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Whitby Beach Management Centre, The Beach, Whitby",,/,/,54.49105266,-0.620895497,54.49105266,-0.620895497,/,/,/,/,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Whitby Cemetery, Larpool Lane, Whitby",,/,/,54.47520532,-0.609127114,54.47520532,-0.609127114,/,/,/,/,10.00-18.00,18.00-10.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Cayton Bay, Cayton, Scarborough",,/,/,54.24450202,-0.362349901,54.24450202,-0.362349901,/,/,/,/,07.30-20.00,20.00-07.30,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"South Cliff Gardens, South Bay, Scarborough",,/,/,54.27383512,-0.394913364,54.27383512,-0.394913364,/,/,/,/,07.30-21.00,21.00-07.30,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"North York Moors National Park Public Conveniences, Raven Hall Road, Ravenscar",,/,/,54.39954283,-0.489656135,54.39954283,-0.489656135,/,/,/,/,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Aislaby Parish Council Public Convenience, Main Road, Aislably, Whitby",,/,/,54.46573982,-0.676331206,54.46573982,-0.676331206,/,/,/,/,08.30-20.00,20.00-08.30,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Danby Group Parish Council Public Conveniences, Commondale, Whitby",,/,/,54.48557768,-0.976817483,54.48557768,-0.976817483,/,/,/,/,07.30-21.30,21.30-07.30,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Danby Group Parish Council Public Conveniences, Westerdale, Whitby",,/,/,54.44340955,-0.974954934,54.44340955,-0.974954934,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"North York Moors National Park Public Conveniences, Scaling Dam Car Park, A171, Whitby",,/,/,54.50545185,-0.834002518,54.50545185,-0.834002518,/,/,/,1,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"North York Moors National Park Public Conveniences, Goathland, Whitby",,/,/,54.4011697,-0.715755906,54.4011697,-0.715755906,/,/,/,1,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Hunmanby Gap Public Convenience, Sands Road, Hunmanby, Filey",,/,/,54.17809106,-0.268434356,54.17809106,-0.268434356,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Eskdaleside-cum-Ugglebarnby Parish Council Public Conveniences, Eskdlae Close, Sleights, Whitby",,/,/,54.44952316,-0.664764223,54.44952316,-0.664764223,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough,/,"Scalby Parish Council Public Conveniences, High Street, Scalby, Scarborough",,/,/,54.29986626,-0.446281149,54.29986626,-0.446281149,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selby,/,Park Street,Next to Selby Park,/,/,/,/,/,/,/,/,/,/,07.00 - 18.00,18.00 - 07.00,/,/,/,/,-,-,1,1,Yes,1,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selby,/,Micklegate Car Park,Next to Abbey Walk Complex,/,/,/,/,/,/,/,/,/,/,07.00 - 18.00,18.00 - 07.00,/,/,/,/,-,-,1,1,Yes,1,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selby,/,Brittania Car Park,Tadcaster,/,/,/,/,/,/,/,/,/,/,07.00 - 18.00,18.00 - 07.00,/,/,/,/,-,-,1,1,Yes,1,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selby,/,Low Street,Sherburn in Elmet Low Street,/,/,/,/,/,/,/,/,/,/,07.00 - 18.00,18.00 - 07.00,/,/,/,/,-,-,1,1,Yes,1,/,/,/,/,/, / ,/,,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsley,/,Churchfield,Opp St Martins Church,/,/,/,/,/,/,/,/,/,/,07.30 - 15.30,15.30 - 07.30,/,/,/,/,1,0,0,0,No,0,/,/,/,/,/, / ,/,19/03/2014,https://www.barnsley.gov.uk/services/environment-and-planning/street-care-and-cleaning/public-toilets/find-a-toilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
