,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
Eden,/,"Langwathby, Penrith",Brief Encounter,CTS,/,/,/,/,CA10 1NB,/,/,/,/,/,/,09.00 - 17.00 March to October,10.00 - 16.00 November to December,/,1,1,0,1,/,0,/,/,/,/,/, / ,,15/03/2014,http://www.eden.gov.uk/transport-and-streets/toilets/,
Eden,/,Nenthead,,CTS,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,0,/,/,/,/,/, / ,,15/03/2014,http://www.eden.gov.uk/transport-and-streets/toilets/,
South Lakeland,/,Milnthorpe,/,/,,,/,/,LA7 7QJ,/,/,/,09.00 - 16.00,16.00 - 09.00,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, No charge  ,/,28/03/2014,FOI,
South Lakeland,/,South Lakeland House  ,/,CTS,,,/,/,/,/,/,/,/,/,/,/,/,/,1,1,0,0,/,0,/,/,/,/,/, / ,/,28/03/2014,FOI,
South Lakeland,/,Kendal Town Hall,/,CTS,,,/,/,/,/,/,/,/,/,/,/,/,/,1,1,0,0,/,0,/,/,/,/,/, / ,/,28/03/2014,FOI,
Bolton,/,Bolton,"Moss Bank Park, Moss Bank Way",/,/,/,/,/,BL1 6NQ,/,/,/,09.00-16.00,16.00 - 09.00,/,/,/,/,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bolton,/,Bolton,"Moses Gate Country Park, Hall Lane",/,/,/,/,/,BL4 7QN,/,/,/,09:00-16:00,16.00 - 09.00,/,/,/,/,1,1,0,0,No,0,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bolton,/,Farnworth,"Farnworth Market, Market Street",/,/,/,/,/,BL45 8EY,/,/,/,9:00-15:30,15.30 - 09.00,/,/,/,/,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bolton,/,Westoughton,"Westhoughton Town, Market Street",/,/,/,/,/,BL5 3AZ,/,/,/,09:00-16:00,16.00 - 09.00,/,/,/,/,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bolton,/,Bolton,"Sunnyside Park, Higher Swan Lane",/,/,/,/,/,BL3 3AJ,/,/,/,/,/,/,/,/,dependant of bowling fixtures,1,1,0,0,No,0,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bolton,/,Bolton,"Queen Park, Spa Road",/,/,/,/,/,BL1 4RU,/,/,/,09:00-15:30,15.30 - 09.00,/,/,/,/,1,1,0,0,No,1,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bolton,/,Bolton,"Egerton Park, Blackburn Road",/,/,/,/,/,BL7 0PL,/,/,/,/,/,/,/,/,dependant of bowling fixtures,1,1,0,0,No,0,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bolton,/,Bolton,"Haslam Park, Wigan Road",/,/,/,/,/,BL3 5QL,/,/,/,/,/,/,/,/,dependant of bowling fixtures,1,1,0,0,No,0,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bury,/,Ramsbottom,Market Chambers,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bury,/,Bury,Murray Road,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, No Charge ,/,14/04/2014,FOI,
Bury,/,Bury,"Radcliffe Piazza, Market Hall",/,/,/,/,/,/,/,/,/,09.00 - 16.00,16.00 - 09.00,Monday - Saturday,/,/,/,1,1,0,1,No,0,/,/,/,Porta Cabins,/, No Charge ,/,14/04/2014,FOI,
Bury,/,Tottington,Market Street,/,/,/,/,/,/,/,/,/,09.00 - 15.00,15.00 - 09.00,Monday - Saturday,/,/,/,0,0,1,1,Yes,1,/,/,Yes,/,/, There is a charge for this service ,/,14/04/2014,FOI,
Bury,/,"Adshell, Bury",Prestwich Longfield Centre,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,0,0,1,1,Yes,1,/,/,Yes,/,/, There is a charge for this service ,/,14/04/2014,FOI,
Bury,/,"Adshell, Bury",Kay Gardens,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,0,0,1,1,Yes,1,/,/,Yes,/,/, There is a charge for this service ,/,14/04/2014,FOI,
Manchester,/,/,"Abraham Moss Library, Crescent Road, Abraham Moss Centre",/,/,/,/,/,M8 5UF,/,/,/,/,/,/,/,/,"Monday, Tuesday, Friday and Saturday: 09.00 - 17.00 / Wednesday: 09.00 - 20.00",0,0,0,1,No,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Blackley,"Avenue Library and Learning Centre, Victoria Avenue East",/,/,/,/,/,M9 6HW,/,/,/,/,/,/,/,/,Monday & Thursday: 09.00 - 20.00 / Tuesday & Friday: 09.00 - 17.00 / Saturday: 09.00 - 13.00 & 14.00 - 17.00,1,1,0,1,No,1,Unisex,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,/,"Beswick Library, 60 Grey Mare Lane",/,/,/,/,/,M11 3DS,/,/,/,/,/,/,/,/,Monday - Thursday: 11.00 - 14.00 & 15.00 - 19.00 / Saturday: 09.00 - 16.30,0,0,0,1,Yes,1,Unisex,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,/,"Brooklands Library, Moor Road",/,/,/,/,/,M23 9BP,/,/,/,/,/,/,/,/,"Monday, Tuesday, Friday and Saturday: 10.00 - 13.00 & 14.00 - 17.00 / Wednesday: 10.00 - 13.00 & 14.00 - 20.00",0,0,0,1,No,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,/,"Burnage Library, Activity and information Hub, Burnage Lane",/,/,/,/,/,M19 1EW,/,/,/,/,/,/,/,/,"Tuesday, Friday & Saturday: 14.00 - 17.00 / Wednesday: 10.00 - 13.00 and 14.00 - 17.00 / Thursday: 10.00 -13.00",0,0,0,1,No,1,Unisex,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,/,"Central Library, St Peters Square",/,/,/,/,/,M2 5PD,/,/,/,/,/,/,/,/,Monday - Thursday 09.00 - 20.00 / Friday-Saturday: 09.00 - 17.00,1,1,0,1,Yes,1,Unisex,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,/,"Chorlton Library, Manchester Road",/,/,/,/,/,M21 9PN,/,/,/,/,/,/,/,/,Monday & Friday: 09.00 - 17.00 / Tuesday & Thursday: 09.00 - 20.00 / Saturday: 09.00 - 13.00 & 14.00 - 17.00,1,1,0,1,Yes,1,Unisex,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Didsbury,"Didsbury Library, 692 Wilmslow Road",/,/,/,/,/,M20 2DN,/,/,/,/,/,/,/,/,Monday & Tuesday: 09.00 - 20.00 / Thursday & Friday: 09.00 - 17.00 / Saturday: 09.00 - 13.00 & 14.00 - 17.00,0,0,0,1,Yes,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Fallowfield,"Fallowfield Library, Platt Lane",/,/,/,/,/,M14 7FB,/,/,/,/,/,/,/,/,Monday: 13.00 - 19.00 /  Thursday: 10.00 - 13.00 & 14.00 - 17.00 / Saturday: 10.00 - 13.00,1,1,0,,,,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Gorton,"Gorton Library, Garrett Way",/,/,/,/,/,M18 8HE,/,/,/,/,/,/,/,/,"Monday, Thursday & Saturday: 10.00 - 13.00 & 14.00 - 17.00 / Tuesday: 10.00 - 13.00 & 14.00 - 20.00 / Friday: 14.00 - 17.00",1,1,0,1,No,1,M/F,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Hulme,Hulm Lubrarym Stretford Road,/,/,/,/,/,M15 5FQ,/,/,/,/,/,/,/,/,"Tuesday, Friday and Saturday: 10.00 - 13.00 & 14.00 - 17.00 / Wednesday: 14.00 - 17.00 / Thursday: 10.00 - 13.00 & 14.00 - 20.00",1,1,0,1,No,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Levenshulme,"Levenshulme Community Library, Cromwell Grove",/,/,/,/,/,M19 3QE,/,/,/,/,/,/,/,/,Monday: 2.30 - 17.00 / Wednesday: 2.30 - 20.00 / Saturday: 09.00 - 13.00 & 14.00 - 17.00,1,1,0,1,/,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Longsight,"Longsight Library and Learning Centre, 519 Stockport Road",/,/,/,/,/,M12 4NE,/,/,/,/,/,/,/,/,Monday & Tuesday: 09.00 - 20.00 / Wednesday & Thursday: 09.00 - 17.00 / Saturday: 09.00 - 13.00 & 14.00 - 17.00,1,1,0,1,,1,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Miles Platting,"Miles Platting Community Library, Lower Vickers Street, Victoria Community Centre",/,/,/,/,/,M40 7LJ,/,/,/,/,/,/,/,/,Tuesday: 14.00 - 17.00 / Wednesday: 10.00 - 13.00 / Thursday 13.00 - 19.00 / Saturday: 10.00 - 13.00,0,0,1,1,,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,New Moston,"New Moston Community Library, Nurthurst Road",/,/,/,/,/,M40 3PJ,/,/,/,/,/,/,/,/,"Monday: 10.00 - 13.00 & 14.00 - 20.00 / Tuesday, Friday & Saturday: 10.00 - 13.00 & 14.00 - 17.00 / Wednesday: 14.00 - 17.00",0,0,0,1,,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Newton Heath,"Newton Heath Library, Old Church Street",/,/,/,/,/,M40 2JB,/,/,/,/,/,/,/,/,"Monday & Tuesday: 09.00 - 20.00 / Thursday, Wednesday & Thursday 09.00 - 17.00 / Saturday: 09.00 - 13.00 & 14.00 - 17.00",1,1,0,1,No,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Harpurhey,"New City Library, Rochdale Road",/,/,/,/,/,M9 4AF,/,/,/,/,/,/,/,/,"Monday & Thursday: 14.00 - 17.00 / Tuesday, Wednesday & Friday: 10.00 - 13.00 ",0,0,0,1,Yes,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Manchester,/,Withington,"Withington Library, 410 Wilmslow Road",/,/,/,/,/,M20 3BN,/,/,/,/,/,/,/,/,Monday & Wednesday: 09.00 - 20.00 / Tuesday and Friday: 09.00 - 17.00 / Saturday: 09.00 - 13.00 & 14.00 - 17.00,0,0,0,1,No,0,/,/,/,/,/, No Charge ,/,09/04/2014,FOI ,
Oldham,/,Lees,"Lees Library, Lees Community Hub Thomas Street",/,/,/,/,/,OL4 5DA,/,/,/,09.00 - 19.00,19.00 - 09.00,Monday - Thursday ,/,/,Friday: 9.00 - 17.00 / Saturday: 9.30 - 13.00 / Closed Sunday,0,0,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Limehurst,"Limehurst Library, St Chad's Centre, Lime Green Parade",/,/,/,/,/,OL8 3HH,/,/,/,/,/,/,/,/,Monday: Closed / Tuesday: 14.00 - 17.00 / Wednesday & Thursday: 14.00 - 19.00 / Friday: 09.30 - 13.00 / Saturday: 09.30 - 13.00,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Oldham Library  & Lifelong Learning Centre, Cultural Quarter Greaves Street",/,/,/,/,/,OL1 1AL,/,/,/,09.00 - 21.30,21.30 - 09.00,Monday - Thursday ,/,/,Friday: 09.00 - 17.00 / Sunday: Closed,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Chadderton,"Chadderton Library  & Wellbeing Centre, Burnley Street",/,/,/,/,/,OL9 0JW,/,/,/,09.00 - 19.00,19.00 - 09.00,Monday - Thursday ,/,/,Friday & Saturday: 9.00 - 17.00 / Sunday:Closed,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Crompton Library, Farrow Street East ",/,/,/,/,/,OL2 8QY,/,/,/,09.00 - 19.00,19.00 - 09.00,Monday - Thursday ,/,/,Friday & Saturday: 9.00 - 17.00 / Sunday:Closed,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Failsworth,"Failsworth  Library, Failsworth Town Hall, Oldham Road",/,/,/,/,/,M35 0FJ,/,/,/,09.00 - 19.00,19.00 - 09.00,Monday - Thursday ,/,/,Friday & Saturday: 9.00 - 17.00 / Sunday:Closed,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Fitton Hill Library, Fitton Hill Neighbourhood Centre, Fircroft Road, Fitton Hill ",/,/,/,/,/,OL8 2QD,/,/,/,/,/,/,/,/,Monday: Closed / Tuesday: 14.00 - 17.00 / Wednesday & Thursday: 14.00 - 19.00 / Friday & Saturday: 09.30 - 13.00,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Shaw,"Crompton Pool, Farrow Street",/,/,/,/,/,OL2 8NW,/,/,/,/,/,/,/,/,Monday & Wednesday: 07.00 - 21.00 / Tuesday & Thursday: 09.00 - 21.00 / Friday: 07.00 - 20.00 / Saturday: 08.30 - 16.00 / Sunday: 08.30 - 14.00,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Oldham Sports Centre, Lord Street ",/,/,/,/,/,OL1 3HA,/,/,/,19.00 - 21.00,21.00 - 19.00,Monday - Friday,/,/,Saturday: 08.00 - 17.00 / Sunday: 08.00 - 17.00,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,/,Civic Centre Bus Stations,/,/,/,/,/,/,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,/,Tommyfield Market,/,/,/,/,/,/,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Alexandra Park, Kings Road",/,/,/,/,/,OL8 2BH,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,Saturday & Sunday: 09:00 - 17:00,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Uppermill Park, Wade Row, High Street",/,/,/,/,/,/,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,Saturday & Sunday: 08:00 - 16:00,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,/,Dovestone Reservoir,/,/,/,/,/,/,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Chadderton,"Chadderton Hall Park, Chadderton Hall Road",/,/,/,/,/,OL9 0BN,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Thursday ,/,/,Friday: 07:30 - 12.00 / Saturday & Sunday: 09:00 - 14:00,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Chadderton,"Coalshaw Green Park, Coalshaw Green Road",/,/,/,/,/,OL9 8JR,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Thursday ,/,/,Friday: 07:30 - 12.00 / Saturday & Sunday: 09:00 - 14:00,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,/,"Copster Park, Copster Hill Road ",/,/,/,/,/,OL8 1QB,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Failsworth,"Daisy Nook Country Park, Stannybrook Road",/,/,/,/,/,M35 9WJ,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Shaw,"Dunwood Park, Woodend Shaw",/,/,/,/,/,OL2 7UR,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Chadderton,"Foxdenton Park, Foxdenton Lane",/,/,/,/,/,OL9 9QS,/,/,/,/,/,/,/,/,Currently out of use awaiting repairs,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Shaw,"High Crompton Park, Rochdale Road, High Crompton",/,/,/,/,/,OL2 7JA,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Failsworth,"Higher Memorial Park, Joseph Street",/,/,/,/,/,/,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Failsworth,"Lower Memorial Park, Park Avenue",/,/,/,/,/,OL9 0AL,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Royton,"Royton Park, Bleasdale Street",/,/,/,/,/,OL2 6RL,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Stoneleigh Park, Buxted Road",/,/,/,/,/,OL1 4LP,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Oldham,"Tandle Hill Park, Tandle Hill Road, Royton ",/,/,/,/,/,OL2 5UX,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Hollinwood,"Hollinwood Cemetery, Roman Road ",/,/,/,/,/,OL8 3LU,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,Security open and close at weekends,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Crompton,"Crompton Cemetery, Fraser Street",CTS,/,/,/,/,/,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Thursday ,/,/,Friday: 07.30 - 12.00,0,0,1,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Hollinwood,"Hollinwood Crematorium, Roman Road",/,/,/,/,/,OL8 3LU,/,/,/,10.00 - 15.30,15.30 - 10.00,Monday - Friday,/,/,During service times,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Shaw,"Asda Shaw, Greenfield lane",/,/,/,/,/,OL2 8QP,/,/,/,08.00 - 22.00,22.00 - 08.00,Monday - Saturday,/,/,Sunday: 11.00 - 17.00,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Shaw Oldham,"Shaw lifelong learning, High Street",/,/,/,/,/,OL2 8TB,/,/,/,08.00 - 16.00,16.00 - 08.00,Monday - Friday,/,/,/,1,1,0,1,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Shaw,"Crompton Cemetery, Fraser Street ",/,/,/,/,/,OL2 7SD,/,/,/,08.00 - 15.30,15.30 - 08.00,Monday - Thursday ,/,/,Friday: 08.00 - 12.00,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Heyside,Bullcote Park,/,/,/,/,/,OL2 7PQ,/,/,/,07.30 - 16.00,16.00 - 07.30,Monday - Friday,/,/,/,1,1,0,0,/,0,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Oldham,/,Dobcross,"Brownhill Countryside Centre, Wool Road",/,/,/,/,/,OL3 5PB,/,/,/,09.00 - 19.00,19.00 - 09.00,/,/,/,/,1,1,0,1,/,1,/,/,/,/,/,  No Charge  ,/,14/04/2014,FOI,
Rochdale,/,Heywood,Bamford Road,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,0,0,1,1,Yes,/,/,/,Superloo,/,/, œ0.10 ,01706 925700,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Littleborough,The Square,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,0,0,1,1,Yes,/,/,/,/,/,/, œ0.10 ,01707 925700,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Littleborough,Hollingworth Lake - Lakebank,/,/,/,/,/,/,/,/,/,/,/,/,08.30 - 18.00 April - September,08.30 - 17.00 October - March,/,1,1,0,1,Yes,/,/,/,Superloo,/,/, / ,01706 867421,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Littleborough,Hollingworth Lake - Visitor Centre,/,/,/,/,/,/,/,/,/,/,/,/,08.30 - 18.00 April - September,08.30 - 17.00 October - March,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,01706 927421,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Littleborough,Hollingworth Lake - Pavillion Cafe,/,/,/,/,/,/,/,/,/,/,/,/,08.30 - 18.00 April - September,08.30 - 17.00 October - March,Sunday 11.00 - 17.00,1,1,0,1,Yes,/,/,/,/,/,/, / ,01706 927421,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Middleton,"Shopping Centre, Limetrees Road, Middleton",/,/,/,/,/,M24 4EL,/,/,/,09.00 - 17.30,/,Monday - Saturday,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,0161 6434900,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Middleton,Bus Station,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,01706 925700,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Rochdale,Bus Station,/,/,/,/,/,/,/,/,1,/,/,/,/,/,Sunday 10.00 - 16.30,0,0,1,1,Yes,/,/,/,Superloo,/,/, œ0.10 ,01706 925700,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Rochdale,South Parade,/,/,/,/,/,/,/,/,/,08.00 - 17.00,/,Monday - Saturday,/,/,Sunday 10.30 - 16.30,1,1,0,1,Yes,/,/,/,/,/,/, / ,01706 925700,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Rochdale,Rochdale Exchange (Market Hall subway),/,/,/,/,/,/,/,/,/,08.00 - 17.00,/,Monday - Saturday,/,/,Sunday 10.00 - 16.30,1,1,0,1,Yes,/,/,/,/,/,/, / ,01706 710400,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Rochdale,"Wheatsheaf Shopping Centre, Lower Mall",/,/,/,/,/,/,/,/,/,09.00 - 17.00,/,Monday - Saturday,/,/,Sunday 10.30 - 16.30,1,1,0,1,Yes,1,/,/,/,/,/, / ,01706 921626,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Rochdale,/,Rochdale,"Wheatsheaf Shopping Centre, Gallery Level",/,/,/,/,/,/,/,/,/,09.00 - 17.00,/,Monday - Saturday,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,01706 921626,15/03/2014,http://www.rochdale.gov.uk/default.aspx?page=2159,
Stockport,/,Age Concern Community Toilet Scheme,"Russell Morley House, 8-16 Lower Hillgate, Stockport",CTS,/,/,/,/,SK1 3AQ,/,/,/,09.30 - 15.00,15.00 - 09.30,Monday - Friday,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,St Peters Church,"St Peters Square, Petersgate, Stockport",CTS,/,/,/,/,/,/,/,/,11.00 - 14.00,14.00 - 11.00,Tuesday - Friday,/,/,Every 2nd Saturday in the month 10:00 to 13:00,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,Central Library Community Toilet Scheme,Wellington Road South Stockport,CTS,/,/,/,/,SK1 3RS,/,/,/,/,/,/,/,/,Monday 10:00 to 20:00 Tuesday & Friday 09:00 to 20:00 Wednesday & Thursday 09:00 to 17:00 Saturday 09:00 to 16:00,1,1,0,1,/,1,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,"Bus Station, Public Convenience","Daw Bank, Stockport Town Centre",CTS,/,/,/,/,/,/,/,/,/,/,/,/,/,7 days a week,1,1,0,1,/,1,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,Fred Perry House,"Piccadilly / Edward Street, Stockport,",CTS,/,/,/,/,SK1 3UR,/,/,/,08.30 - 17.00,17.00 - 08.30,Monday - Friday,/,/,/,1,1,0,1,/,1,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,Disability Stockport,"23 High Street, Stockport,",CTS,/,/,/,/,SK1 1EG,/,/,/,09.00 - 16.00,16.00 - 09.00,Monday - Friday,/,/,/,1,1,0,1,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,Vernon Park Museum,"Turncroft Lane, Offerton, Stockport,",CTS,/,/,/,/,SK1 4AR,/,/,/,10.00 - 16.00,16.00 - 10.00,/,/,/,/,1,1,0,1,/,1,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,"Costa Coffee, Community Toilet Scheme","10 _ 12 Bramhall Lane South, Bramhall, Stockport,",CTS,/,/,/,/,SK7 1AF,/,/,/,/,/,/,/,/,Monday to Friday 07:00 am to 19:30pm Saturday 07:00am to 19:30pm Sunday 08:00am to 18:30pm,1,1,0,1,/,1,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
Stockport,/,"Beluga, Community Toilet Scheme","26 Bramhall Lane South Bramhall, Stockport,",CTS,/,/,/,/,SK7 1AF,/,/,/,09.00 - 23.00,23.00 - 09.00,/,/,/,/,1,1,0,0,/,1,/,/,/,/,/, / ,/,15/03/2014,http://www.stockport.gov.uk/services/communitypeopleliving/yourcommunity/communitytoiletsmap,
