,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
County Durham,/,Willington,Lido,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=602,
County Durham,/,Wolsingham,Angate Street,/,/,/,/,/,/,/,/,/,07.00 - 17.00,17.00 - 07.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=603,
Hartlepool,/,Seaton Carew Esplanade,"Clocktower, The Front",/,/,/,/,/,TS25 1DJÿ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Hartlepool,/,Middlegate,"Headland Town Square,",/,/,/,/,/,TS24 0JDÿÿÿÿÿÿÿÿÿÿÿ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Hartlepool,/,/,"Carpark, Coronation Drive,",/,/,/,/,/,TS25 1NY,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Hartlepool,/,/,"LightHouse, Moor Terrace, ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ",/,/,/,/,/,TS24 0PS ÿÿÿÿÿ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Hartlepool,/,/,"Ward Jackson Park, ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ",/,/,/,/,/,TS26 0DSÿÿÿÿ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Hartlepool,/,/,"Rossmere Park, ",/,/,/,/,/,TS25 1EFÿ,/,/,/,/,/,/,09.00 - 20.00,09.00 - 17.00,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Hartlepool,/,/,"Civic Centre, Victoria Road,",/,/,/,/,/,TS24 8AY,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,0,0,1,1,No,1,A,/,/,/,/, No Charge ,/,26/03/2014,FOI,
Hartlepool,/,/,"Central Library, York Road,ÿ",/,/,/,/,/,TS26 9DE,/,/,/,09.00 - 17.00,17.00 - 09.00,/,/,/,/,1,1,0,1,Yes,1,M/F,/,/,/,/, No Charge ,/,26/03/2014,FOI,
