"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"ASI","Ashford International (Eurostar)","welsbys","29/04/2013",546600,"ASHFORD INTL","Eurostar (UK) Ltd","Ashford Station","Ashford","Kent",,"TN24 0PS",0.875,51.1409,"ES","fullTime","Y",,"Customer Services cover every aspect of the passengers journey through the Terminal to the Train.",,,"N","All telephone booking routed via Ashford Contact Centre. 24/7 booking available","Y","Outside the ticket office","NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"Y","Y",,,"N",,"Y","Food / drink oultets on the main concourse and departures lounge","Y","Y",,"N",,"N","Y",,"<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=TN24 0PS&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Ashford International (Eurostar) station</a>","N",,"N","N",,"Y",,"Y",,"Y",,"N",,,,,,"N","Y",,"N",,"N","Y",,,,"N",,"Ramps and lifts available","Y",,,,"Y",,"Y",0,"No","Y",,,,,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ASI.pdf"">here</a></p>","None",,,,,,"ES",,"F405775E3D1C4A9294EC27DB7918305A"
"SPX","London St Pancras (Intl)","welsbys","29/04/2013",154000,"St Pancras Intl","Pancras Road","London","Greater London",,,"NW1 2QP",-0.12603,51.53242,"ES","fullTime","Y",,,"DepartureScreens, ArrivalScreens",,"N",,"Y","Ticket Office and Opposite Departures","TicketOffice, TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","Y",,,,,,"N","<p>Platforms 1-4 and 11-13, along with the domestic departures areas&nbsp;are managed by <a href=""/companies/LC.html"">High Speed 1 (London and Continental Stations)</a>.</p> <p>Platforms 5-10&nbsp;and the international departures areas are managed by <a href=""/companies/ES.html"">Eurostar</a>.</p> <p>Platforms A and B and the areas on the low level part of St Pancras,&nbsp;are managed by <a href=""/companies/NR.html"">Network Rail</a>.</p>",,,,,"Y",,,,,,,"Y",,,,"N","N",,,"N",,"N","Coffee shop Coffee kiosk Public House/Bar Food outlet (Seating available)","N","Y",,"Y",",Female toilets,Male toilets","N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=NW1 2QP &z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around St Pancras International station</a>","N",,"N","N","Outside the station","N",,"Y","Located on concourse","Y","Wide range of shops","N",,,,,,"N","Y",,"N",,"Y","Y",,,,"N","<p>Toilet attendants are available.</p>","<p>The station entrances are located at street level and provide level access to the lower concourse. There are three lifts on the main concourse to take passengers to and from the upper level UK train platforms and the Rendezvous.</p>","Y",,,"<p>A clearly marked passenger drop off zone is located on Pancras Road which runs parallel to St Pancras International Station.</p> <p>The drop off zone leads directly to the Eurostar departures.&nbsp;&nbsp;</p>","Y",,"Y",0,"Yes","Y","To the rear of the ground and first level of the car park.",,"Wheel Racks",,,"<p><strong>PICKUP - Midland Road</strong>: Currently the taxi pick up is located next to First Capital Connect station entrance. Soon&nbsp;a large covered queuing area&nbsp;will be&nbsp;available halfway along the lower concourse where passengers can wait for marshalled taxis.</p> <p><strong>DROP OFF - Pancras Road</strong>: There are two taxi drop off areas in Pancras Road. One is situated halfway along the old Victorian brick built Barlow shed and is convenient for Eurostar passengers. The second is situated close to the main entrance in the new part of the station and is suitable for passengers travelling within the UK .</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/SPX.pdf"">here</a></p>","<p>The underground station Kings Cross St Pancras leads directly into St Pancras International and is better connected than any other London station with 6 of the major tube lines running through it &ndash; Victoria, Hammersmith and City, Piccadilly, Circle Metropolitan line and Northern. Please refer to <a href=""http://www.tfl.gov.uk/"" title=""TFL"" target=""_blank"">Transport for London</a> for journey times.</p>","<p><strong>Heathrow Airport</strong>: There is a direct journey to Heathrow Airport, using the Piccadilly Line. Journey time is under an hour.</p> <p>The quickest transfer from St Pancras to Heathrow Airport is to catch the Heathrow Express from London Paddington to Heathrow Airport.</p> <p><strong>Gatwick Airport</strong>: St Pancras offers a direct route from St Pancras to Gatwick Airport from Platform A.</p> <p><strong>Stansted Airport</strong>: The fastest option is to take Victoria Line to Tottenham Hale and change for the Stansted Express train. Journey time, approximately one hour.</p> <p><strong>Luton Airport</strong>:&nbsp;A direct train service operates from St Pancras to Luton Airport Parkway several times an hour.</p>",,,,,"ES",,"CC3BF7F25D7E496488E0043990F3B465"
